name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Andrés Giordano Salazar,andres giordano salazar,FA,Independientes,-0.283019,0.236518,0.01004,-0.302698,-0.263341,11,[],-0.170296,-0.384937,-0.809476,-0.729839,-0.344902,0.344902,Mas moderado/a en discurso que en votacion tematica,False,162,24
Alberto Undurraga Vicuña,alberto undurraga vicuna,DC,DC,-0.278769,0.232267,0.025831,-0.329398,-0.228141,12,[],-0.140672,-0.308841,-0.462518,-0.718879,-0.410038,0.410038,Mas moderado/a en discurso que en votacion tematica,False,158,26
Jaime Sáez Quiroz,jaime saez quiroz,FA,Frente Amplio,-0.269193,0.222692,0.033744,-0.335331,-0.203055,13,[],-0.232517,-0.544769,-0.828582,-0.694186,-0.149417,0.149417,Alta coincidencia texto-voto,False,162,18
Leonardo Soto Ferrada,leonardo soto ferrada,PS,Socialismo Democrático,-0.236366,0.189865,0.021799,-0.279093,-0.19364,14,[],-0.194352,-0.446731,-0.633945,-0.609533,-0.162801,0.162801,Alta coincidencia texto-voto,False,181,21
Camila Rojas Valderrama,camila rojas valderrama,COMUNES,Frente Amplio,-0.221092,0.17459,0.022723,-0.265629,-0.176555,15,[],-0.536977,-1.326855,-0.848651,-0.570144,0.756711,0.756711,Mas extremo/a en discurso que en votacion tematica,False,162,1
Gael Yeomans Araya,gael yeomans araya,PCS,Frente Amplio,-0.211436,0.164934,0.028681,-0.26765,-0.155222,16,[],-0.181141,-0.412795,-0.816543,-0.545243,-0.132448,0.132448,Alta coincidencia texto-voto,False,192,22
Luis Alberto Cuello Peña y Lillo,luis alberto cuello pena y lillo,PC,PC + FRVS + AH,-0.210097,0.163596,0.019244,-0.247816,-0.172379,17,[],-0.336386,-0.811583,-0.924524,-0.541791,0.269791,0.269791,Mas extremo/a en discurso que en votacion tematica,False,171,10
Daniela Serrano Salazar,daniela serrano salazar,PC,PC + FRVS + AH,-0.205084,0.158583,0.025843,-0.255736,-0.154432,18,[],-0.32668,-0.786652,-0.953623,-0.528864,0.257788,0.257788,Mas extremo/a en discurso que en votacion tematica,False,169,12
Daniel Lilayu Vivanco,daniel lilayu vivanco,UDI,Chile Vamos,-0.16389,0.117388,0.026939,-0.216691,-0.111089,19,[],0.289053,0.795022,0.212925,-0.422633,-1.217656,1.217656,Mas moderado/a en discurso que en votacion tematica,False,151,38
Consuelo Veloso Ávila,consuelo veloso avila,FA,Independientes,-0.160061,0.113559,0.032972,-0.224686,-0.095436,20,[],-0.17284,-0.391473,-0.723016,-0.412759,-0.021286,0.021286,Alta coincidencia texto-voto,False,166,23
Fernando Bórquez Montecinos,fernando borquez montecinos,UDI,Chile Vamos,-0.142896,0.096394,0.036157,-0.213764,-0.072027,21,[],0.301704,0.827521,0.167178,-0.368494,-1.196015,1.196015,Mas moderado/a en discurso que en votacion tematica,False,147,40
Claudia Mix Jiménez,claudia mix jimenez,COMUNES,Frente Amplio,-0.076974,0.030472,0.036588,-0.148686,-0.005261,22,[],-0.379498,-0.922327,-0.881264,-0.198497,0.72383,0.72383,Mas extremo/a en discurso que en votacion tematica,False,187,7
Roberto Arroyo Muñoz,roberto arroyo munoz,PSC,Republicanos,-0.054504,0.008003,0.030999,-0.115262,0.006253,23,[],0.528444,1.409963,0.066908,-0.140554,-1.550517,1.550517,Mas moderado/a en discurso que en votacion tematica,False,143,43
Ximena Ossandón Irarrázabal,ximena ossandon irarrazabal,RN,Chile Vamos,-0.051428,0.004926,0.020298,-0.091212,-0.011644,24,[],0.270436,0.7472,0.103369,-0.13262,-0.879819,0.879819,Mas moderado/a en discurso que en votacion tematica,False,182,35
Juan Santana Castillo,juan santana castillo,PS,Socialismo Democrático,-0.043465,-0.003037,0.029425,-0.101139,0.014209,25,[],-0.473802,-1.164574,-0.729273,-0.112086,1.052488,1.052488,Mas extremo/a en discurso que en votacion tematica,False,196,3
Nelson Venegas Salazar,nelson venegas salazar,PS,Socialismo Democrático,-0.002251,-0.044251,0.038257,-0.077234,0.072732,26,[],-0.227082,-0.530807,-0.617823,-0.005804,0.525003,0.525003,Mas extremo/a en discurso que en votacion tematica,False,165,19
Eduardo Durán Salinas,eduardo duran salinas,RN,Chile Vamos,0.010863,-0.057364,0.032083,-0.05202,0.073745,27,[],0.275668,0.76064,0.156822,0.028012,-0.732628,0.732628,Mas moderado/a en discurso que en votacion tematica,False,164,36
Felipe Camaño Cárdenas,felipe camano cardenas,IND,Independientes,0.020095,-0.066596,0.02944,-0.037607,0.077797,28,[],-0.099794,-0.203834,-0.321463,0.051819,0.255653,0.255653,Alta coincidencia texto-voto,False,162,29
Emilia Nuyado Ancapichun,emilia nuyado ancapichun,PS,Socialismo Democrático,0.115277,-0.161779,0.038551,0.039717,0.190837,29,[],-0.349651,-0.845657,-0.731874,0.297273,1.14293,1.14293,Mas extremo/a en discurso que en votacion tematica,False,167,9
Javiera Morales Alvarado,javiera morales alvarado,FA,Frente Amplio,0.130534,-0.177035,0.028589,0.0745,0.186567,30,[],-0.169141,-0.381969,-0.74022,0.336615,0.718584,0.718584,Mas extremo/a en discurso que en votacion tematica,False,170,25
Héctor Barría Angulo,hector barria angulo,DC,DC,0.13082,-0.177322,0.03621,0.059848,0.201793,31,[],-0.285632,-0.681207,-0.446871,0.337354,1.018562,1.018562,Mas extremo/a en discurso que en votacion tematica,False,168,16
Juan Carlos Beltrán Silva,juan carlos beltran silva,RN,Chile Vamos,0.179324,-0.225826,0.034706,0.111301,0.247348,32,[],0.285732,0.786492,0.124794,0.462435,-0.324057,0.324057,Mas moderado/a en discurso que en votacion tematica,False,117,37
Henry Leal Bizama,henry leal bizama,UDI,Chile Vamos,0.223313,-0.269815,0.030072,0.164371,0.282255,33,[],0.307699,0.84292,0.176014,0.575871,-0.267048,0.267048,Mas moderado/a en discurso que en votacion tematica,False,148,41
Marta González Olea,marta gonzalez olea,IND,Independientes,0.226557,-0.273058,0.017072,0.193095,0.260018,34,[],-0.117707,-0.249848,-0.563816,0.584236,0.834084,0.834084,Mas extremo/a en discurso que en votacion tematica,False,160,28
Carlos Bianchi Chelech,carlos bianchi chelech,IND,Independientes,0.256829,-0.303331,0.031483,0.195123,0.318536,35,[],-0.300567,-0.719572,-0.510027,0.662302,1.381874,1.381874,Mas extremo/a en discurso que en votacion tematica,False,169,15
