name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Hotuiti Teao Drago,hotuiti teao drago,IND,Independientes,-0.156209,-0.199457,0.030763,-0.216505,-0.095913,23,[],0.540675,1.054418,0.140539,0.502256,-0.552161,0.552161,Mas moderado/a en discurso que en votacion tematica,False,140,60
Alberto Undurraga Vicuña,alberto undurraga vicuna,DC,DC,-0.149426,-0.192674,0.038287,-0.224468,-0.074384,24,[],-0.216273,-0.333788,-0.462518,0.480447,0.814235,0.814235,Mas extremo/a en discurso que en votacion tematica,False,150,34
Nathalie Castillo Rojas,nathalie castillo rojas,PC,PC + FRVS + AH,-0.128949,-0.172197,0.032403,-0.192459,-0.065439,25,[],-1.0,-1.771105,-0.870073,0.414609,2.185714,2.185714,Mas extremo/a en discurso que en votacion tematica,False,136,1
Joanna Pérez Olea,joanna perez olea,DC,Demócratas + Amarillos,-0.086374,-0.129622,0.023932,-0.133282,-0.039467,26,[],0.018327,0.096456,-0.260634,0.277718,0.181262,0.181262,Alta coincidencia texto-voto,False,123,41
Camila Musante Müller,camila musante muller,IND,Independientes,-0.084782,-0.12803,0.051854,-0.186415,0.016851,27,[],-0.452738,-0.767453,-0.598434,0.272597,1.040051,1.040051,Mas extremo/a en discurso que en votacion tematica,False,132,21
Carla Morales Maldonado,carla morales maldonado,RN,Chile Vamos,-0.083024,-0.126272,0.042626,-0.166571,0.000524,28,[],0.407184,0.809602,0.099457,0.266945,-0.542657,0.542657,Mas moderado/a en discurso que en votacion tematica,False,134,51
Marcela Riquelme Aliaga,marcela riquelme aliaga,IND,Independientes,-0.057079,-0.100327,0.047738,-0.150647,0.036488,29,[],-0.626565,-1.086244,-0.792168,0.183526,1.269771,1.269771,Mas extremo/a en discurso que en votacion tematica,False,124,14
Carolina Tello Rojas,carolina tello rojas,FA,PC + FRVS + AH,-0.050853,-0.094101,0.036061,-0.121532,0.019826,30,[],-0.757025,-1.325502,-0.841432,0.163507,1.489009,1.489009,Mas extremo/a en discurso que en votacion tematica,False,159,6
Rubén Darío Oyarzo Figueroa,ruben dario oyarzo figueroa,IND,PDG,-0.04962,-0.092868,0.037752,-0.123613,0.024373,31,[],-0.002462,0.058331,-0.299294,0.159541,0.101211,0.101211,Alta coincidencia texto-voto,False,168,40
Roberto Arroyo Muñoz,roberto arroyo munoz,PSC,Republicanos,-0.043423,-0.086671,0.037147,-0.116231,0.029384,32,[],0.281897,0.57983,0.066908,0.139619,-0.440212,0.440212,Alta coincidencia texto-voto,False,117,44
Daniel Melo Contreras,daniel melo contreras,PS,Socialismo Democrático,-0.041657,-0.084904,0.032006,-0.104388,0.021075,33,[],-0.473441,-0.805421,-0.655472,0.133938,0.939359,0.939359,Mas extremo/a en discurso que en votacion tematica,False,114,20
Johannes Kaiser Barents-Von Hohenhagen,johannes kaiser barents von hohenhagen,PNL,Independientes,-0.000257,-0.043505,0.03097,-0.060957,0.060443,34,[],0.949126,1.803496,0.618082,0.000826,-1.80267,1.80267,Mas moderado/a en discurso que en votacion tematica,False,164,71
Jaime Sáez Quiroz,jaime saez quiroz,FA,Frente Amplio,0.00463,-0.038618,0.04237,-0.078415,0.087675,35,[],-0.675196,-1.17543,-0.828582,-0.014887,1.160544,1.160544,Mas extremo/a en discurso que en votacion tematica,False,151,12
Ana María Gazmuri Vieira,ana maria gazmuri vieira,PAH,PC + FRVS + AH,0.009128,-0.03412,0.01421,-0.018723,0.036979,36,[],-0.768661,-1.346841,-0.932431,-0.029349,1.317493,1.317493,Mas extremo/a en discurso que en votacion tematica,False,156,4
Hernán Palma Pérez,hernan palma perez,IND,Independientes,0.012727,-0.030521,0.019601,-0.025691,0.051145,37,[],-0.846866,-1.490265,-0.92005,-0.040921,1.449345,1.449345,Mas extremo/a en discurso que en votacion tematica,False,158,2
Andrés Jouannet Valderrama,andres jouannet valderrama,AMA,Demócratas + Amarillos,0.020724,-0.022523,0.047768,-0.072901,0.11435,38,[],0.116333,0.276194,-0.286982,-0.066635,-0.342829,0.342829,Alta coincidencia texto-voto,False,137,42
Juan Carlos Beltrán Silva,juan carlos beltran silva,RN,Chile Vamos,0.033206,-0.010042,0.028219,-0.022103,0.088515,39,[],0.418211,0.829825,0.124794,-0.106767,-0.936592,0.936592,Mas moderado/a en discurso que en votacion tematica,False,151,54
Hugo Rey Martínez,hugo rey martinez,RN,Chile Vamos,0.035313,-0.007935,0.024288,-0.012291,0.082917,40,[],0.343513,0.692831,0.097906,-0.113541,-0.806372,0.806372,Mas moderado/a en discurso que en votacion tematica,False,148,46
Agustín Romero Leiva,agustin romero leiva,PREP,Republicanos,0.049217,0.005969,0.017996,0.013946,0.084489,41,[],0.96793,1.837982,0.605007,-0.158247,-1.996229,1.996229,Mas moderado/a en discurso que en votacion tematica,False,162,72
Marcos Ilabaca Cerda,marcos ilabaca cerda,PS,Socialismo Democrático,0.074324,0.031076,0.033952,0.007778,0.14087,42,[],-0.413766,-0.695981,-0.619173,-0.238973,0.457008,0.457008,Alta coincidencia texto-voto,False,137,24
Andrés Giordano Salazar,andres giordano salazar,FA,Independientes,0.07538,0.032133,0.030599,0.015406,0.135355,43,[],-0.688948,-1.200652,-0.809476,-0.242369,0.958282,0.958282,Mas extremo/a en discurso que en votacion tematica,False,142,9
Emilia Nuyado Ancapichun,emilia nuyado ancapichun,PS,Socialismo Democrático,0.093424,0.050176,0.04984,-0.004262,0.191109,44,[],-0.579732,-1.000355,-0.731874,-0.300384,0.699971,0.699971,Mas extremo/a en discurso que en votacion tematica,False,138,15
Danisa Astudillo Peiretti,danisa astudillo peiretti,PS,Socialismo Democrático,0.09498,0.051732,0.042735,0.011219,0.178741,45,[],-0.407229,-0.683993,-0.637001,-0.305387,0.378606,0.378606,Alta coincidencia texto-voto,False,149,25
Karol Cariola Oliva,karol cariola oliva,PC,PC + FRVS + AH,0.095714,0.052466,0.021651,0.053279,0.13815,46,[],-0.650251,-1.129682,-0.74928,-0.307748,0.821934,0.821934,Mas extremo/a en discurso que en votacion tematica,False,134,13
Helia Molina Milman,helia molina milman,PPD,Socialismo Democrático,0.095832,0.052584,0.019409,0.05779,0.133874,47,[],-0.563189,-0.970015,-0.629569,-0.308126,0.661889,0.661889,Mas extremo/a en discurso que en votacion tematica,False,145,17
Marisela Santibáñez Novoa,marisela santibanez novoa,PC,Independientes,0.101056,0.057808,0.034755,0.032937,0.169175,48,[],-0.832851,-1.464562,-0.707751,-0.324924,1.139638,1.139638,Mas extremo/a en discurso que en votacion tematica,False,120,3
Consuelo Veloso Ávila,consuelo veloso avila,FA,Independientes,0.113329,0.070081,0.027683,0.05907,0.167588,49,[],-0.570052,-0.982602,-0.723016,-0.364384,0.618218,0.618218,Mas extremo/a en discurso que en votacion tematica,False,145,16
Héctor Barría Angulo,hector barria angulo,DC,DC,0.14838,0.105132,0.041481,0.067077,0.229683,50,[],-0.261398,-0.416545,-0.446871,-0.477083,-0.060539,0.060539,Alta coincidencia texto-voto,False,155,33
Claudia Mix Jiménez,claudia mix jimenez,COMUNES,Frente Amplio,0.149431,0.106184,0.03023,0.090181,0.208682,51,[],-0.675241,-1.175514,-0.881264,-0.480464,0.69505,0.69505,Mas extremo/a en discurso que en votacion tematica,False,157,11
Renzo Trisotti Martínez,renzo trisotti martinez,UDI,Independientes,0.156439,0.113191,0.038527,0.080925,0.231953,52,[],0.677499,1.305346,0.388326,-0.502995,-1.808341,1.808341,Mas moderado/a en discurso que en votacion tematica,False,154,67
Marta Bravo Salinas,marta bravo salinas,UDI,Chile Vamos,0.164847,0.1216,0.026619,0.112674,0.217021,53,[],0.554448,1.079677,0.198315,-0.530031,-1.609707,1.609707,Mas moderado/a en discurso que en votacion tematica,False,145,62
