name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Marcos Ilabaca Cerda,marcos ilabaca cerda,PS,Socialismo Democrático,-0.240502,-0.228897,0.033917,-0.30698,-0.174024,23,[],-0.387232,-0.690228,-0.619173,-0.693834,-0.003606,0.003606,Alta coincidencia texto-voto,False,642,22
Ximena Ossandón Irarrázabal,ximena ossandon irarrazabal,RN,Chile Vamos,-0.192783,-0.181178,0.023299,-0.23845,-0.147117,24,[],0.446716,0.791344,0.103369,-0.556168,-1.347512,1.347512,Mas moderado/a en discurso que en votacion tematica,False,711,56
Leonardo Soto Ferrada,leonardo soto ferrada,PS,Socialismo Democrático,-0.191917,-0.180312,0.015736,-0.22276,-0.161074,25,[],-0.412867,-0.73577,-0.633945,-0.553669,0.1821,0.1821,Alta coincidencia texto-voto,False,510,19
Jaime Naranjo Ortiz,jaime naranjo ortiz,PS,Socialismo Democrático,-0.19028,-0.178674,0.016154,-0.221943,-0.158617,26,[],-0.749552,-1.333917,-0.656312,-0.548946,0.784971,0.784971,Mas extremo/a en discurso que en votacion tematica,False,670,9
Héctor Barría Angulo,hector barria angulo,DC,DC,-0.175146,-0.163541,0.032745,-0.239327,-0.110966,27,[],-0.13457,-0.241355,-0.446871,-0.505287,-0.263932,0.263932,Mas moderado/a en discurso que en votacion tematica,False,658,34
Javiera Morales Alvarado,javiera morales alvarado,FA,Frente Amplio,-0.128654,-0.117048,0.024349,-0.176378,-0.08093,28,[],-0.400335,-0.713507,-0.74022,-0.371158,0.342349,0.342349,Mas extremo/a en discurso que en votacion tematica,False,713,21
Félix González Gatica,felix gonzalez gatica,PEV,Otros,-0.111225,-0.099619,0.035409,-0.180627,-0.041822,29,[],-0.313693,-0.559581,-0.725456,-0.320877,0.238704,0.238704,Alta coincidencia texto-voto,False,650,24
Bernardo Berger Fett,bernardo berger fett,RN,Independientes,-0.106471,-0.094866,0.031296,-0.167811,-0.045131,30,[],0.590715,1.047169,0.150743,-0.307162,-1.354331,1.354331,Mas moderado/a en discurso que en votacion tematica,False,720,64
René Alinco Bustos,rene alinco bustos,IND,Independientes,-0.087024,-0.075419,0.033364,-0.152419,-0.02163,31,[],-0.220253,-0.393578,-0.540823,-0.25106,0.142518,0.142518,Alta coincidencia texto-voto,False,487,27
Hotuiti Teao Drago,hotuiti teao drago,IND,Independientes,-0.086148,-0.074543,0.027788,-0.140614,-0.031683,32,[],0.542279,0.961119,0.140539,-0.248533,-1.209652,1.209652,Mas moderado/a en discurso que en votacion tematica,False,703,62
Carlos Bianchi Chelech,carlos bianchi chelech,IND,Independientes,-0.065894,-0.054289,0.024814,-0.11453,-0.017258,33,[],-0.163808,-0.293297,-0.510027,-0.190101,0.103196,0.103196,Alta coincidencia texto-voto,False,648,32
Alejandro Bernales Maldonado,alejandro bernales maldonado,LIBERAL,Socialismo Democrático,-0.025606,-0.014001,0.033896,-0.092042,0.04083,34,[],-0.213198,-0.381043,-0.494767,-0.073873,0.30717,0.30717,Mas extremo/a en discurso que en votacion tematica,False,576,28
Cristián Tapia Ramos,cristian tapia ramos,IND,Independientes,-0.025403,-0.013797,0.022348,-0.069205,0.018399,35,[],-0.196519,-0.351411,-0.574706,-0.073286,0.278125,0.278125,Mas extremo/a en discurso que en votacion tematica,False,718,29
Sara Concha Smith,sara concha smith,PSC,Republicanos,-0.024112,-0.012507,0.033173,-0.089131,0.040907,36,[],0.278994,0.493374,0.166561,-0.069562,-0.562936,0.562936,Mas moderado/a en discurso que en votacion tematica,False,746,46
