name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Francisco Pulgar Castillo,francisco pulgar castillo,IND,Independientes,0.257186,-0.285291,0.039865,0.17905,0.335323,87,[],0.226492,0.547309,-0.181641,0.791351,0.244042,0.244042,Mas extremo/a en discurso que en votacion tematica,False,357,64
Félix González Gatica,felix gonzalez gatica,PEV,Otros,0.260284,-0.288388,0.029419,0.202622,0.317946,88,[],-0.477236,-0.776354,-0.725456,0.800882,1.577236,1.577236,Mas extremo/a en discurso que en votacion tematica,False,357,31
Jorge Brito Hasbún,jorge brito hasbun,RD,Frente Amplio,0.26886,-0.296964,0.024203,0.221422,0.316298,89,[],-0.725697,-1.243691,-0.792358,0.82727,2.070961,2.070961,Mas extremo/a en discurso que en votacion tematica,False,418,13
Felipe Donoso Castro,felipe donoso castro,UDI,Chile Vamos,0.31723,-0.345334,0.021612,0.27487,0.359589,90,[],0.546666,1.149534,0.23873,0.976101,-0.173433,0.173433,Alta coincidencia texto-voto,False,323,93
Jorge Rathgeb Schifferli,jorge rathgeb schifferli,RN,Chile Vamos,0.363189,-0.391293,0.02704,0.310191,0.416187,91,[],0.326808,0.735997,0.176535,1.117515,0.381518,0.381518,Mas extremo/a en discurso que en votacion tematica,False,375,78
Ximena Ossandón Irarrázabal,ximena ossandon irarrazabal,RN,Chile Vamos,0.373757,-0.401861,0.021091,0.332419,0.415095,92,[],0.221127,0.537219,0.103369,1.150032,0.612813,0.612813,Mas extremo/a en discurso que en votacion tematica,False,399,63
Gonzalo De la Carrera Correa,gonzalo de la carrera correa,PNL,Independientes,0.414108,-0.442213,0.033528,0.348393,0.479824,93,[],0.750579,1.53308,0.486506,1.274193,-0.258888,0.258888,Mas moderado/a en discurso que en votacion tematica,False,291,98
Andrés Longton Herrera,andres longton herrera,RN,Chile Vamos,0.418035,-0.446139,0.026206,0.366671,0.469398,94,[],0.241611,0.575748,0.114215,1.286273,0.710525,0.710525,Mas extremo/a en discurso que en votacion tematica,False,326,66
Luis Sánchez Ossa,luis sanchez ossa,PREP,Republicanos,0.421343,-0.449447,0.017768,0.386517,0.456168,95,[],0.911375,1.835527,0.608356,1.296452,-0.539075,0.539075,Mas moderado/a en discurso que en votacion tematica,False,420,105
Andrés Jouannet Valderrama,andres jouannet valderrama,AMA,Demócratas + Amarillos,0.451994,-0.480098,0.019204,0.414355,0.489634,96,[],-0.139052,-0.140253,-0.286982,1.390765,1.531018,1.531018,Mas extremo/a en discurso que en votacion tematica,False,269,53
Roberto Arroyo Muñoz,roberto arroyo munoz,PSC,PDG,0.471706,-0.49981,0.026829,0.419121,0.524291,97,"[{'fecha': '2025-01-22', 'polo': 'positivo', 'text': 'el aumento de las penas de cárcel para los delitos de robo por sorpresa y de robo con violencia es un tema de debate no solo en Chile, sino también en muchos otros países. El objetivo de superar el problema de la delincuencia y asegurar la justicia para la víctima es muy fundamental. Hay consideraciones legales e implicaciones sociales en cuanto a las posibles medidas que se puedan discutir. En Chile también tenemos el robo por sorpresa, delit...'}, {'fecha': '2024-07-24', 'polo': 'positivo', 'text': 'me alegra mucho intervenir después del diputado Guzmán. Sepa que estamos haciendo una transmisión en vivo. En este minuto, aunque parezca que uno se está riendo, la mayoría de las personas han estado utilizando sus celulares. Esto lo vemos en las calles y en las casas, donde a veces desde una habitación a la otra las personas se mandan mensajes. Así es como ha ido proliferando esta cultura del uso del celular en nuestra era digital actual. Est...'}, {'fecha': '2024-03-12', 'polo': 'positivo', 'text': 'el proyecto de ley en discusión ha sido revisado exhaustivamente. Como señaló el diputado Tapia, no es algo que hayamos visto ayer para presentarlo hoy día y darle celeridad, sino que se trata de una iniciativa en la que venimos trabajando hace mucho tiempo. De hecho, a la comisión concurrieron muchas personas, incluidas autoridades del Ministerio del Deporte y de la Dirección General de Movilización Nacional, entre otras, quienes presentaron ...'}]",0.323178,0.72917,0.066908,1.451418,0.722248,0.722248,Mas extremo/a en discurso que en votacion tematica,False,388,76
Marcela Riquelme Aliaga,marcela riquelme aliaga,IND,Independientes,0.490823,-0.518927,0.023632,0.444505,0.537141,98,"[{'fecha': '2025-12-10', 'polo': 'positivo', 'text': 'honrada me siento de poder dirigir estas palabras a nuestra poetisa Gabriela Mistral. Cuando tuve la oportunidad de estar en México junto con el Presidente de la República, me llevé la sorpresa de que ahí había más escuelas públicas llamadas Gabriela Mistral que en Chile y me dio vergüenza aquello porque nunca en nuestro país reconocemos a nuestros grandes próceres. Eso se debe a que Gabriela Mistral no solo era una gran mujer, una gran profes...'}, {'fecha': '2025-12-10', 'polo': 'positivo', 'text': 'Tiene la palabra a la diputada Marcela Riquelme. hay una película llamada Talentos ocultos en la que se habla de la importancia de ser el primero. Se trata de tres mujeres de color que trabajan en la NASA. Una de ellas se enfrenta al desafío de estudiar en la universidad, universidad que en ese entonces solo era para personas blancas. Cuando ella se enfrenta al juez para que la autorice a ingresar a la universidad le dice: “Usted va a resolver...'}, {'fecha': '2025-12-01', 'polo': 'positivo', 'text': 'en primer lugar, esto viene a equiparar la regla entre la Policía de Investigaciones y Carabineros. Cada funcionario de la Policía de Investigaciones porta y utiliza su arma las 24 horas del día y los siete días de la semana, pero para Carabineros no existe esta regla. Fuimos nosotros quienes separamos las funciones preventivas de Carabineros de las de investigación de la PDI. Por lo tanto, dotar a Carabineros de armamento las 24 horas del día...'}]",-0.836849,-1.45276,-0.792168,1.51024,2.962999,2.962999,Mas extremo/a en discurso que en votacion tematica,False,344,7
Leonidas Romero Sáez,leonidas romero saez,RN,Independientes,0.494851,-0.522955,0.020374,0.454918,0.534784,99,"[{'fecha': '2025-03-25', 'polo': 'positivo', 'text': 'Tiene la palabra el diputado Leonidas Romero. por su intermedio saludo al ministro. El elemento central de este proyecto es postergar el plazo hasta diciembre de 2034 para que los establecimientos de educación parvularia que reciben aportes regulares del Estado obtengan el reconocimiento oficial, lo que es necesario para evitar el cierre de múltiples jardines infantiles. Los cambios introducidos por el Senado mejoraron la iniciativa en algunos...'}, {'fecha': '2025-01-14', 'polo': 'positivo', 'text': 'una vez más hemos escuchado populismo puro y duro en la Cámara de Diputados. Qué bueno que a lo menos alguien del gobierno del Presidente Gabriel Boric -me refiero al ministro Álvaro Elizaldeesté viendo la luz y se atreva a decir que este proyecto es inconstitucional. Quiero hacer la siguiente pregunta a los autores del proyecto y a quienes quieren votar a favor: ¿cuántos de ustedes han generado un puesto de trabajo? ¿Cuántos de ustedes han ej...'}, {'fecha': '2024-11-13', 'polo': 'positivo', 'text': 'Tiene la palabra, hasta por dos minutos, el diputado Leonidas Romero. he escuchado con atención las intervenciones sobre esta partida, y creo que el tema de la educación es transversal, no tiene color político. Sin embargo, algunos colegas del otro lado hablan de “la dictadura”, de “la derecha”…, perdón, pero este es un tema transversal. Autoridades de todos los colores políticos han hecho uso y abuso de los recursos destinados a educación, co...'}]",0.65155,1.346813,0.478185,1.522633,0.17582,0.17582,Alta coincidencia texto-voto,False,334,97
Henry Leal Bizama,henry leal bizama,UDI,Chile Vamos,0.505147,-0.533252,0.019347,0.467227,0.543068,100,"[{'fecha': '2025-12-02', 'polo': 'positivo', 'text': 'vamos a votar a favor este proyecto de ley, porque creemos que es un avance importante. Estamos en una sociedad hiperconectada en que la tecnología es parte de nuestras vidas. Sin embargo, también debemos tener presente que muchas veces aquello que hacemos los adultos, los padres, los hijos lo replican. Por lo tanto, si hoy estamos avanzando en este proyecto de ley es porque seguramente fallamos en nuestras casas, ya que estamos permanentement...'}, {'fecha': '2025-10-01', 'polo': 'positivo', 'text': 'saludo de manera especial a una delegación de alumnos de cuarto año medio del Complejo Educacional Público Darío Salas, de la comuna de Carahue; a su profesor, Javier Galaz; a su directiva, encabezada por Betsabé Arias, y a su secretaria, Deisis Jeno Rojas. Les hago llegar un saludo de manera especial, por haber viajado desde lejos para estar acá hoy. Respecto del proyecto de ley que estamos discutiendo en esta sesión, quiero decir que voy a a...'}, {'fecha': '2025-08-05', 'polo': 'positivo', 'text': 'Para hablar a favor, tiene la palabra, hasta por cinco minutos, el diputado Henry Leal. existe un proyecto de ley que ya está aprobado en la Comisión de Seguridad Ciudadana de la Cámara y esperamos que la próxima semana esté en tabla para votarse en este mismo sentido. Quiero aprovechar de pedir es que el Ejecutivo se abra a patrocinarlo y ponerle urgencia: los detectores de metales lo único que buscan es impedir el ingreso de armas blancas, d...'}]",0.435622,0.940669,0.176014,1.554316,0.613646,0.613646,Mas extremo/a en discurso que en votacion tematica,False,343,87
Johannes Kaiser Barents-Von Hohenhagen,johannes kaiser barents von hohenhagen,PNL,Republicanos,0.518647,-0.546751,0.014444,0.490337,0.546957,101,"[{'fecha': '2025-12-01', 'polo': 'positivo', 'text': 'entendiendo que este proyecto de ley tiene buenas intenciones, quiero hacer presente lo siguiente: El sistema de educación que tenemos lo heredamos del Reino de Prusia y su objetivo es educar a la mayor cantidad de niños posibles, atendiendo a la falta de recursos disponibles. Eso significa que se orienta a lo que podríamos llamar la normalidad de los niños, es decir, lo que estadísticamente se denomina como el centro del paquete. El problema ...'}, {'fecha': '2025-07-22', 'polo': 'positivo', 'text': 'en primer lugar, el terrorismo no nace del Congreso. El Congreso es un órgano democrático y en este órgano democrático se respetan las leyes y los derechos humanos. Y son estas mismas leyes a las cuales están sometidos todos los chilenos, sean estos mapuches o no mapuches, y eso es lo que los hace iguales ante la ley, y es lo que también significa el respeto a su dignidad como individuos. Quienes han asociado el pueblo mapuche al terrorismo so...'}, {'fecha': '2025-07-09', 'polo': 'positivo', 'text': 'Revisaremos la situación que ha planteado, diputado. Asimismo, quiero recordarles a los parlamentarios y a las parlamentarias que, al hacer uso de la palabra, deben referirse a sus colegas o a los ministros que estén en la testera siempre por intermedio de la Mesa, a fin de evitar controversias inconducentes. no es ninguna novedad que los grupos y las asociaciones criminales han identificado que el uso de menores de edad para la comisión de de...'}]",0.82791,1.678534,0.618082,1.595852,-0.082682,0.082682,Alta coincidencia texto-voto,False,330,99
Juan Antonio Coloma Álamos,juan antonio coloma alamos,UDI,Chile Vamos,0.572198,-0.600302,0.022698,0.52771,0.616685,102,"[{'fecha': '2025-10-08', 'polo': 'positivo', 'text': 'el Presidente Boric les va a quitar los computadores a todos los alumnos de séptimo básico que estudien en colegios particulares subvencionados. Eso es lo que dice el proyecto de ley de presupuestos. Algo que es histórico, que a estas alturas todos los alumnos saben, es que en séptimo básico se les entrega un computador sin importar si están en un colegio público o en uno particular subvencionado. Sin embargo, en este proyecto de ley de presup...'}, {'fecha': '2025-01-07', 'polo': 'positivo', 'text': 'finalmente la izquierda terminó por quitarles los patines a los estudiantes. Cuando en el gobierno de la Presidenta Bachelet se impulsó la reforma educacional, advertimos que iban a destruir la educación pública. Lo hicieron, primero, validando a los overoles blancos, y ahora lo hacen con el sistema de la tómbola, que ha sido un fracaso. De los primeros cien establecimientos educacionales, noventa y ocho son particulares y solo dos con inversi...'}, {'fecha': '2024-11-27', 'polo': 'positivo', 'text': '¿qué votamos hoy? Lo pregunto porque aquí se han dado muchos discursos mediante los cuales se pretende engañar a la opinión pública. Hoy votamos el fin de la tómbola. Con el proyecto de ley que vamos a votar hoy empezamos a poner punto final a la tómbola, y devolvemos a los padres el derecho a elegir la educación de sus hijos. Si se llega a rechazar esta iniciativa, el Sistema de Admisión Escolar seguirá funcionando. ¿Qué votamos hoy? 73.000 m...'}]",0.522333,1.103766,0.218408,1.760626,0.656859,0.656859,Mas extremo/a en discurso que en votacion tematica,False,315,92
Sergio Bobadilla Muñoz,sergio bobadilla munoz,UDI,Chile Vamos,0.611845,-0.639949,0.015438,0.581586,0.642104,103,"[{'fecha': '2025-10-07', 'polo': 'positivo', 'text': 'esta es una iniciativa legal que constata y demuestra, una vez más, que este gobierno se ha convertido en una verdadera máquina, y muy bien aceitada, para destruir la educación en nuestro país. Nuevamente, se busca postergar las exigencias para el ingreso a las pedagogías, a petición de grupos interesados, básicamente de algunas universidades; sin embargo, los expertos y los entendidos en esta materia coinciden en que una nueva postergación so...'}, {'fecha': '2025-08-20', 'polo': 'positivo', 'text': 'una vez más estamos frente a una promesa incumplida por parte del Presidente Boric, porque durante su campaña dijo “condonación universal”, y eso es falso: no están condonando la deuda al ciento por ciento. Por lo tanto, es una promesa más incumplida. Esto generó un incentivo al no pago. Muchos estudiantes dijeron: “Como nos van a condonar, no pago, pues”. ¿Quién se hace responsable de esto? Moya, porque estamos acostumbrados a que en Chile el...'}, {'fecha': '2025-07-02', 'polo': 'positivo', 'text': 'sin duda, en este proyecto quedan reflejadas dos visiones. Por un lado, la de la izquierda y de su candidata del Partido Comunista, en la que los delincuentes tienen más derechos que las víctimas, como quedó demostrado en todos y cada uno de los proyectos de seguridad, que el Partido Comunista y el Frente Amplio votaron en contra. Por otro lado, está nuestra visión, que prioriza el orden, el respeto por la autoridad, el empoderamiento de nuest...'}]",0.600422,1.250646,0.32734,1.88262,0.631974,0.631974,Mas extremo/a en discurso que en votacion tematica,False,408,96
Cristián Araya Lerdo de Tejada,cristian araya lerdo de tejada,PREP,Republicanos,0.627165,-0.655269,0.015008,0.597749,0.656581,104,"[{'fecha': '2025-09-02', 'polo': 'positivo', 'text': 'como bien se ha dicho, este proyecto regula una realidad que ya existe y, en términos generales, lo hace en la línea correcta. Por supuesto, no podían dejar pasar la oportunidad de contaminarlo con algunas cosas, pero reitero-, en términos generales, el proyecto avanza en la dirección correcta. Por supuesto, es una oportunidad inmensa para poder reflexionar en torno a la primera infancia, que es el punto clave donde se generan las mayores dife...'}, {'fecha': '2025-07-02', 'polo': 'positivo', 'text': 'voy a hacer uso de la palabra por cinco minutos, ya que algunos diputados se opusieron a disminuir el tiempo de las intervenciones. Así que tendrán que soportarme durante cinco minutos, escuchando lo que voy a decirles. Lo primero es enrostrarles sus inconsecuencias, porque se han llenado la boca hablando de seguridad, pero, una vez más, la extrema izquierda se opone a la agenda de seguridad. Los proyectos más relevantes como la “ley Nain-Reta...'}, {'fecha': '2025-05-13', 'polo': 'positivo', 'text': 'Para impugnar la solicitud de resolución, tiene la palabra el diputado Cristián Araya. por su intermedio, quiero agradecer al diputado Camaño, pero cabe recordarle que el camino al infierno está pavimentado de buenas intenciones. Parte del descrédito de la política es que muchos políticos son responsables de los mismos problemas que luego prometen resolver. Básicamente, te quiebran las piernas para después traerte muletas. Te quitan los patine...'}]",0.901202,1.816393,0.574927,1.929758,0.113365,0.113365,Alta coincidencia texto-voto,False,397,104
Miguel Ángel Becker Alvear,miguel angel becker alvear,RN,Chile Vamos,0.661251,-0.689355,0.018521,0.62495,0.697553,105,"[{'fecha': '2025-11-26', 'polo': 'positivo', 'text': 'saludo a los colegas presentes en la Sala y al personal de la Corporación. Hoy discutimos un proyecto que apunta a algo de sentido común, pero que durante años nadie se atrevió a decir con claridad: Chile debe dejar de ser un paraíso migratorio, un país donde cualquiera que entra por un paso clandestino termina accediendo a beneficios financiados por el esfuerzo de millones de chilenos y también de inmigrantes que sí cumplen con la ley, que sí...'}, {'fecha': '2025-10-27', 'polo': 'positivo', 'text': 'por su intermedio saludo a los colegas, al señor ministro y al personal de la Corporación. Qué bueno que este proyecto hoy esté en tabla, a propósito del bochorno que sufrimos hace unos días, cuando más de cien colegas no estuvieron presentes en la Sala para desarrollar la sesión en que debía tratarse esta iniciativa que hoy estamos discutiendo. Lo digo con todas sus letras: hay muchos que se lavan la boca hablando de educación pública, de com...'}, {'fecha': '2025-01-14', 'polo': 'positivo', 'text': 'luego de entender la situación que se vivió, especialmente en las últimas elecciones, cuando los vocales estuvieron hasta altas horas de la madrugada contando los votos, quiero señalar que eso no es lo que ocurre usualmente. Sin embargo, es fácil decir a los emprendedores de Chile: “Mire, usted va a tener que pagar a sus trabajadores, aunque no vengan a trabajar, porque vamos a hacer una ley y van a tener un día libre”. Un día libre por esto, ...'}]",0.345107,0.770416,0.180247,2.03464,1.264224,1.264224,Mas extremo/a en discurso que en votacion tematica,False,367,80
Cristóbal Urruticoechea Ríos,cristobal urruticoechea rios,PREP,Republicanos,0.696014,-0.724118,0.015764,0.665116,0.726911,106,"[{'fecha': '2025-12-02', 'polo': 'positivo', 'text': 'voy a votar a favor este proyecto, si bien tengo mis reparos, porque se está haciendo costumbre en nuestro país que los problemas sociales que enfrentan todas las familias descansen en los establecimientos educacionales. Pretender que esos problemas se definan y se resuelvan en el establecimiento educacional es un error. ¿Por qué? Porque ese es un rol principal de las familias, y pensar que los colegios pueden reemplazar ese rol familiar es un...'}, {'fecha': '2025-11-25', 'polo': 'positivo', 'text': 'he tenido la labor de denunciar todas las plagas que el gobierno ha traído a nuestro país desde que asumió el Presidente Gabriel Boric; un gobierno fanfarrón y con una enorme vanidad, que no les permite ver más allá de lo que hablan en sus aborrecedores discursos. Esta administración, en gran parte, tiene culpa y responsabilidad de lo que hoy está sucediendo. Pongamos ejemplos tácitos, para que no nos quedemos solo con las emociones. Primero, ...'}, {'fecha': '2025-08-11', 'polo': 'positivo', 'text': 'los diputados del Partido Nacional Libertario estimamos que el Estado de Chile ha incumplido sus obligaciones en la identificación en tiempo y forma de los que podrían ser los restos de víctimas de desaparición forzada, y también consideramos que el Estado no ha cumplido en la restitución de esos restos a sus familias. El antecedente inmediato que los diputados del Partido Nacional Libertario poseemos es el descubrimiento de por lo menos 89 ca...'}]",0.855395,1.730232,0.524815,2.141602,0.41137,0.41137,Mas extremo/a en discurso que en votacion tematica,False,402,101
